plateforme,nom_acheteur,annee,nb_marches,date
marches.maximilien.fr,Communauté urbaine Grand Paris Seine et Oise,2020,0,2020-08-31T18:19:26
marches.maximilien.fr,Commune d'Ennery,2018,0,2020-08-31T18:19:27
marches.maximilien.fr,Commune d'Ennery,2019,0,2020-08-31T18:19:28
marches.maximilien.fr,Commune d'Ennery,2020,0,2020-08-31T18:19:29
marches.maximilien.fr,Commune d'Andrésy,2018,0,2020-08-31T18:19:30
marches.maximilien.fr,Commune d'Andrésy,2019,8,2020-08-31T18:19:31
marches.maximilien.fr,Commune d'Andrésy,2020,0,2020-08-31T18:19:34
marches.maximilien.fr,Commune de  CHATOU,2018,0,2020-08-31T18:19:35
marches.maximilien.fr,Commune de  CHATOU,2019,0,2020-08-31T18:19:36
marches.maximilien.fr,Commune de  CHATOU,2020,0,2020-08-31T18:19:37
marches.maximilien.fr,Commune de Bezons,2018,13,2020-08-31T18:19:38
marches.maximilien.fr,Commune de Bezons,2019,2,2020-08-31T18:19:39
marches.maximilien.fr,Commune de Bezons,2020,0,2020-08-31T18:19:40
marches.maximilien.fr,COMMUNE DE BOIS-COLOMBES,2018,0,2020-08-31T18:19:41
marches.maximilien.fr,COMMUNE DE BOIS-COLOMBES,2019,5,2020-08-31T18:19:42
marches.maximilien.fr,COMMUNE DE BOIS-COLOMBES,2020,0,2020-08-31T18:19:43
marches.maximilien.fr,Commune de Cély-en-Bière,2018,0,2020-08-31T18:19:44
marches.maximilien.fr,Commune de Cély-en-Bière,2019,5,2020-08-31T18:19:44
marches.maximilien.fr,Commune de Cély-en-Bière,2020,0,2020-08-31T18:19:45
marches.maximilien.fr,Commune de Cesson,2018,0,2020-08-31T18:19:46
marches.maximilien.fr,Commune de Cesson,2019,0,2020-08-31T18:19:47
marches.maximilien.fr,Commune de Cesson,2020,9,2020-08-31T18:19:48
marches.maximilien.fr,Commune de Châtillon ,2018,1,2020-08-31T18:19:49
marches.maximilien.fr,Commune de Châtillon ,2019,73,2020-08-31T18:19:50
marches.maximilien.fr,Commune de Châtillon ,2020,0,2020-08-31T18:19:52
marches.maximilien.fr,Commune de Chessy,2018,0,2020-08-31T18:19:53
marches.maximilien.fr,Commune de Chessy,2019,39,2020-08-31T18:19:54
marches.maximilien.fr,Commune de Chessy,2020,0,2020-08-31T18:19:56
marches.maximilien.fr,Commune de Chevry-Cossigny,2018,0,2020-08-31T18:19:57
marches.maximilien.fr,Commune de Chevry-Cossigny,2019,2,2020-08-31T18:19:57
marches.maximilien.fr,Commune de Chevry-Cossigny,2020,0,2020-08-31T18:19:58
marches.maximilien.fr,Commune de Coignières,2018,0,2020-08-31T18:19:59
marches.maximilien.fr,Commune de Coignières,2019,22,2020-08-31T18:20:00
marches.maximilien.fr,Commune de Coignières,2020,0,2020-08-31T18:20:01
marches.maximilien.fr,Commune de Courtry,2018,0,2020-08-31T18:20:02
marches.maximilien.fr,Commune de Courtry,2019,0,2020-08-31T18:20:03
marches.maximilien.fr,Commune de Courtry,2020,0,2020-08-31T18:20:04
marches.maximilien.fr,Commune de Domont,2018,0,2020-08-31T18:20:05
marches.maximilien.fr,Commune de Domont,2019,0,2020-08-31T18:20:05
marches.maximilien.fr,Commune de Domont,2020,0,2020-08-31T18:20:06
marches.maximilien.fr,Commune de Fontenay sous Bois,2018,0,2020-08-31T18:20:07
marches.maximilien.fr,Commune de Fontenay sous Bois,2019,0,2020-08-31T18:20:08
marches.maximilien.fr,Commune de Fontenay sous Bois,2020,3,2020-08-31T18:20:09
marches.maximilien.fr,Commune de Fontenay-en-Parisis,2018,0,2020-08-31T18:20:10
marches.maximilien.fr,Commune de Fontenay-en-Parisis,2019,0,2020-08-31T18:20:11
marches.maximilien.fr,Commune de Fontenay-en-Parisis,2020,0,2020-08-31T18:20:12
marches.maximilien.fr,Commune de Fontenay-Trésigny,2018,0,2020-08-31T18:20:13
marches.maximilien.fr,Commune de Fontenay-Trésigny,2019,26,2020-08-31T18:20:14
marches.maximilien.fr,Commune de Fontenay-Trésigny,2020,0,2020-08-31T18:20:15
marches.maximilien.fr,Commune de JOUY-SUR-MORIN,2018,0,2020-08-31T18:20:16
marches.maximilien.fr,Commune de JOUY-SUR-MORIN,2019,0,2020-08-31T18:20:17
marches.maximilien.fr,Commune de JOUY-SUR-MORIN,2020,0,2020-08-31T18:20:18
marches.maximilien.fr,Commune de Lieusaint,2018,0,2020-08-31T18:20:19
marches.maximilien.fr,Commune de Lieusaint,2019,0,2020-08-31T18:20:20
marches.maximilien.fr,Commune de Lieusaint,2020,0,2020-08-31T18:20:21
marches.maximilien.fr,Commune de Lisses,2018,0,2020-08-31T18:20:22
